,tcre,zec50,zec100,zec200,tr1000,tr0,tpw
1018980,1.9744491186008162,-0.011812190731738337,-0.0752952489013956,-0.1530889108179121,-0.05272074581125219,-0.2884663807521894,-1
1022583,1.3020330045059332,0.08782603491146546,0.06526664997405973,-0.04966348575594459,0.12001622187483196,-0.18111766033261867,6
1026603,1.9586581081453576,0.09846433472625526,0.17450862877099405,0.30690532267668913,0.2167873620886842,0.18583359114798792,7
1026820,1.4563028243128153,-0.05025657517338056,-0.09350616179324889,-0.15398224179264197,-0.09943764263979471,-0.21585263474663663,-4
1029339,1.4520363382855233,-0.11349146391338127,-0.15498303068584995,-0.20482173810351356,-0.2037983202996405,-0.23806069775224048,-8
1030623,1.830762222284424,-0.10336567104576111,-0.19223059641808327,-0.2752085788364318,-0.20971065158779778,-0.3293803706161763,-5
1031515,1.6440611835003414,-0.1182802856338463,-0.2548608751627701,-0.431823351468712,-0.264866583963979,-0.5219891153391274,-9
1036400,1.4518995727632107,-0.08747129827891431,-0.11211346700707958,-0.11615178997598807,-0.15718365452506045,-0.10828118227393299,-8
1042065,1.4116706858753856,0.030094541271892927,0.05717027649220352,0.07651582524805378,0.05988892618988095,-0.03627849076110794,4
1043591,1.3301767237986835,-0.1087474716373229,-0.16996149724962195,-0.18183822523218218,-0.22335303196049328,-0.23932760354919982,-14
1044712,1.0862068421326772,-0.023905879724723356,-0.026185792993222767,-0.04436256453546927,-0.050071629255275196,-0.10889239243038817,-2
1045004,1.7510970305965958,0.16410357573020895,0.31229369938297347,0.5072581199170927,0.3792594029075558,0.477846166541525,14
1045425,1.1481505887205607,-0.04248617725433501,-0.03598098167434305,-0.02000198585721824,-0.06737282850419235,-0.02388583675177696,-2
1047089,1.3545483977563246,-0.0914591571349539,-0.12303269848320841,-0.14778403660021056,-0.1763104904384014,-0.19770426330609947,-6
1048092,1.5946113674991238,-0.11134960606380928,-0.15817394866205436,-0.2093404792354745,-0.20342078276090114,-0.34768381930749737,-8
1048962,1.5123970477145856,-0.04159422551264336,-0.0613120602144388,-0.1261938703674803,-0.0746755160669823,-0.16251255285004942,-2
1049167,1.126707937859602,-0.030191214115492082,-0.03558627578296414,-0.04690648674601805,-0.06370431050325776,-0.09940043577839902,-2
1051974,1.2440122883208582,0.029707821128871714,0.07132731963008831,0.08793937458287604,0.06645911091834589,0.04467262075458628,4
1053783,1.3956595709604906,-0.03835125605594536,-0.06436073765447325,-0.10928621831124508,-0.0706754767717026,-0.19204196744789734,-3
1054248,1.232353261702994,-0.05116796330346607,-0.07187559048844805,-0.12693734459118122,-0.10665029776687573,-0.2103123937732613,-4
1056533,2.210919420368279,0.2573417260593627,0.33779590713087826,0.3834374488490737,0.4688078105404876,0.1514408153049773,13
1056604,1.581216781898488,-0.16893667373009635,-0.24599286014829502,-0.3416742041975531,-0.3171149831927993,-0.3784463890918399,-12
1056959,1.9933365582501692,-0.05189905946662954,-0.05869470917722874,-0.05618065774577219,-0.0832103435037248,-0.16383561850678757,-2
1058522,2.1498664507275005,0.33691498337156345,0.5545956207602325,0.7649172727739608,0.6821875518790379,0.5091929552704307,20
1059346,1.4861590870666859,0.014281280190737933,0.012851052401472218,0.02147041509591463,0.0329292576641087,-0.06252652786025657,1
1059387,1.5261103383116135,-0.061605555842343396,-0.1156797186361791,-0.16282406158501117,-0.14196439775477177,-0.28095759305105683,-3
1063553,2.0088772289914134,0.032242390186676406,0.020742908750774003,0.008664378322759347,0.06359578478674566,-0.1549621633351299,2
1064273,1.582465814388162,-0.011060264732158709,-0.05237559880395937,-0.11509818045407583,-0.03313006383902528,-0.2080084780973124,-1
1064637,1.8730254729569145,0.014937244903968194,0.05367495546205725,0.11630567132780478,0.04758187082564658,-0.04080308434545801,2
1065297,1.2620003357055791,-0.0686282869164836,-0.09858900636115808,-0.1407059858987152,-0.13084875118596173,-0.17957971433190256,-5
1065675,1.4465564153435404,-0.07996494118850261,-0.09688772579833804,-0.11978592806378541,-0.15021642737160845,-0.2324294668553452,-5
1068209,1.4585003663917053,0.017346742265689885,-0.011538100502345827,-0.1188565897010212,0.01817256047217697,-0.19161830319810147,1
1068701,1.2543860425717057,-0.018215793447359685,-0.026259619479361396,-0.03244959066173547,-0.03698746539341613,-0.130981960364262,0
1071439,1.079155115835761,-0.06545598267624819,-0.15617175025704078,-0.27044080060126974,-0.15192354572607836,-0.3389813514771006,-8
1072955,1.545995847880551,-0.09034466754932224,-0.09503847621531691,-0.08632064644358195,-0.15896821257791016,-0.13003519050774714,-5
1073250,1.5390686808470257,-0.044009972628016536,-0.06381107248434059,-0.08956670670468836,-0.06912290963838341,-0.11326902721860535,-2
1076145,1.7280194506939255,0.001955618374083201,0.004414323875789217,0.02178019287302102,0.01961600984833911,-0.041960793859307566,1
1078348,1.6529616366873936,0.16784923187124856,0.2980911095753689,0.43046715503858013,0.35217316215907757,0.2955024924245894,13
1081169,1.1821379631412718,-0.03333116567687133,-0.04302379737869244,-0.05920559534240666,-0.05531355643985236,-0.07434533865337431,-2
1083554,1.9849406640240592,0.06987764486994363,0.05804466111864315,0.02682569383479594,0.1242498574236075,-0.07629981437258966,5
1084031,1.438824636063369,-0.06122028869039364,-0.06623163370551644,-0.05791404545564527,-0.10096033074704702,-0.0957247883516325,-3
1084935,1.1426815386725337,-0.10090970899217266,-0.14207044549311343,-0.19148024547501052,-0.1938855354276532,-0.21072440435360407,-9
1085292,1.8393748774119854,-0.07339805800886645,-0.10915348562494054,-0.1429444154682764,-0.11416523979410953,-0.18244784326703148,-4
1087126,1.6490005237423222,0.11243309948197511,0.14818947943198957,0.09535522837862787,0.20180493354594375,-0.08001758254205907,8
1089948,1.4225130981615492,0.060382663371207235,0.010451160093280842,-0.09920431824156539,0.07459149754262517,-0.19570439975623202,4
1090944,1.312295236226277,-0.08509802481505457,-0.10417961026420852,-0.12282232408087634,-0.14891923217601177,-0.16365909371939671,-7
1091404,1.7480728979333766,-0.048155131410824614,-0.070483499923919,-0.14283268857930764,-0.08013766552616075,-0.20996042639958296,-3
1093797,1.6671288414042382,-0.012683371368696905,-0.004776006622626561,-0.00566243764879526,-0.011577923705802906,-0.09419931625238596,0
1096136,1.4540803032594416,-0.06485571482803354,-0.07971101643596845,-0.08046322760489888,-0.11626837622580233,-0.05677189434397461,-3
1097910,1.411925101078128,0.007444815498392154,-0.0035713647522856995,-0.08093958814624669,0.007211190642397947,-0.15854274269628812,1
1098855,1.4375301359125257,-0.08921451006414327,-0.11299769692067119,-0.13307244332898716,-0.16163356979948773,-0.1510631350538582,-5
1100296,1.1207369677517294,-0.015476813190059335,-0.03783212383190193,-0.1129718880206374,-0.0476585859107741,-0.22503372298853672,-2
1100501,1.1461240259799605,-0.043269271988728875,-0.06615344902131848,-0.09975117626860053,-0.08251799229076373,-0.1772256376364672,-4
1100874,1.7772532450990344,0.13893166051539052,0.19879347848537576,0.1934945336401912,0.2507523535345748,0.04669854197266564,9
1103601,1.604456934269051,-0.04955692578684934,-0.11729815455526404,-0.23078236912599825,-0.12749755711121535,-0.3378775303635127,-4
1103858,1.222436272931306,-0.06840567265816122,-0.08738996549858213,-0.12169576462233755,-0.128521243241845,-0.1937183157506208,-6
1105658,1.2131037779408582,-0.11820528158792243,-0.19215145760919028,-0.27597167479301743,-0.2322516214825433,-0.3557981475722596,-12
1106604,1.8087263208089641,-0.12284291414993409,-0.17624344555889637,-0.23218203360942602,-0.2207387080886991,-0.32583965103942614,-8
1109981,1.7930112088101355,-0.023064503572063133,-0.1162783790015467,-0.2905015598074787,-0.09197270363711585,-0.37120878770904564,-2
1110438,1.3057368425552536,0.047502937227996256,0.046948313655309715,-0.025361648736343056,0.07619025159673476,-0.07241863950462445,4
1111005,1.4718136970487998,0.05386802265770485,0.10933627221460962,0.1794076012837813,0.12045337528108946,0.03907953833182676,6
1114971,1.958556061989032,0.10562613396541942,0.13879839132406446,0.1775700355898009,0.21654694641521632,0.09273692553278715,7
1119143,1.3604353142868137,-0.0800753322108898,-0.11186265967508335,-0.16267672611794914,-0.16308484329014172,-0.20289434761241987,-6
1121961,1.2479028937893715,-0.04730503020749732,-0.04271892243549025,-0.02106361519843447,-0.07034038580601498,-0.05200331658389393,-3
1122353,1.6454981544789353,-0.15638458115050513,-0.24617481544351683,-0.3469920359689034,-0.3034475172932696,-0.4949673057814352,-12
1122734,1.560683208489853,-0.14909397314832185,-0.24837231386732106,-0.350966846853324,-0.2945199205311335,-0.4505673983863492,-12
1125294,2.028484498082739,-0.08018350789467932,-0.11987869653076655,-0.1476269989866077,-0.1349945479082899,-0.2167179016566032,-3
1125864,1.9244999141449715,0.18575182369769094,0.31796484088508303,0.4655431528779068,0.4037131175481228,0.4030671894918798,13
1126714,2.183130122740433,0.1681417488012178,0.2895873752629017,0.5229168382840363,0.38165449985585775,0.37318459714378815,11
1126765,1.631321996816785,0.24408652455172364,0.42916519056583846,0.6445454420123986,0.5020680577626466,0.4629348974751233,19
1127480,1.7383308695928859,-0.042871529540204234,-0.026382615555542444,-0.0056204947958604645,-0.058663304984555964,-0.06015482227000782,-1
1128355,1.756163320324215,-0.05948752756833686,-0.0838376917340653,-0.14792836948087107,-0.10499786614731788,-0.18165221198448916,-4
1130065,2.150919279568846,0.1493272222318569,0.278420349865824,0.4461790134349255,0.32771773624945144,0.22559294013240672,10
1130407,1.7262194321035942,0.020134319711419657,0.05664360926089307,0.11141614974440861,0.056664197646829395,0.13627986161856187,2
1131274,1.3918522721664648,-0.15481256594896164,-0.22865201247402145,-0.31369995755356617,-0.29273819625572384,-0.35512684566835795,-13
