,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_CH4,ari_N2O,ari_NH3,ari_NOx,ari_OC,ari_Sulfur,ari_VOC,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_Contrails,fscale_CO2,cc_co2_concentration_1750,seed,gems_beta_550,gems_Q10_resp,gems_kwScalar,gems_PsiScalar,gems_dPsidb,gems_patm0
238436,3.700327594097685,3.344780093956304,17.595851925492784,77.32182908073956,2.0163526318321665,4.137348785766955,0.5949550806197201,1.7362120682845197,0.7051626895269065,0.076583970331449,6.064018940177632,31.33501403155797,0.0094963931433786,2.5920536564567858,-0.0010819064188412,0.0208124654398788,-4.326771290780269e-06,-5.4330282554909405e-05,-0.0003667399648756,-0.0001213568457515,-0.0037668816772878,-0.002967837152235,-2.983740301961172e-05,-5.889272480697203e-07,0.0409362735952395,0.689396051060694,0.1246346954257474,-0.7075052729886346,0.0001793912020981,0.0015328070773648,-6.717900777263131e-05,0.0001784993701925,-0.0003824451496213,0.0019058144528715,1.204756881469904,0.9502351512590388,0.9412915592484152,0.7733844146416754,1.004748594140329,0.8812105829749435,1.013823419314072,-0.000449623732337,0.8658525752464181,1.5196442385312974,0.8714243482747596,275.44082488726946,96491727,1.8724123813169937,2.108226957132066,1.0017617011002635,1.0422337157191393,0.4066277241861286,287.5999469233958
238665,9.005375789711996,4.061312494298682,27.917369134617623,61.58474415118687,1.6498247970714015,2.661497841909501,1.008704217143932,1.1616827311765865,1.2652658476322889,0.235985076559518,6.618107385285427,32.05469230339843,0.0038005376337179,2.8372894287969355,0.0016946865306632,0.0348861493970024,-3.6733543210876697e-06,-5.834018716123362e-05,-0.0005139830277521,-8.013267323254516e-05,-0.0064823888882591,-0.0051124334980709,-2.384445786108475e-05,-8.966426153788424e-07,0.0112604498152027,0.2584631089266917,0.0700145060665914,-0.6787399305885706,0.0002403510833615,0.0010645016027793,0.0001038947732769,0.000184165556439,9.98816105979018e-06,0.0011649804375394,0.8794913936756412,1.1514671371764584,1.1565263864739186,1.3065591388583024,0.9601409960750495,0.7557376380974719,0.7191254376196772,-0.0049746469160935,0.9424572198984014,0.6870842964493737,0.909090663231978,279.0606830686076,96583098,1.95962571356125,2.0875210501571395,0.8406704723926138,1.3575345676589166,0.13453090303059628,283.7416761149988
240012,5.533731067047967,4.047628214241225,18.90004926631488,91.58775381720008,1.3010279497904298,2.196551257772528,1.580631044013535,1.2638260278031368,1.242443012449338,0.5285881148982023,6.861762455057873,31.18917945629103,0.0063191242268594,4.706026962114308,-0.0013570635347063,0.0030185736686324,-1.488568138605821e-06,-1.2533804196547147e-05,-0.0003003101242405,-9.309267852730056e-06,-0.0075323758540074,-0.0005089193821657,-2.760120996892643e-05,-7.448112369633437e-06,0.0317594882823674,0.4687298243609572,0.0672803759289896,-0.558306922227462,0.0001478690264964,0.0008897999706545,-3.801282166733216e-05,0.0001083058333996,0.0002524971026144,0.0017740594228651,1.012376719072129,0.96447153714516,0.9541324125675968,1.2812439642697608,0.8654165046521598,0.9539601437556317,0.838915839375402,-0.0235658375137203,-0.0082198334586141,0.799829686106046,0.9254631368485758,276.7138748239424,97120551,1.828517507204612,1.6015124055233423,0.9782311569060833,1.0925751074550267,0.40324809050486565,285.81173401382705
241899,6.7017308939067295,4.959972374963896,5.215276401751268,87.49713201159949,0.8294758859800546,3.0990428692898053,0.9886186141848742,1.36337826742628,0.7231028676469038,0.6569824220050021,8.363907255866394,34.081979515284154,0.0055205848474776,-0.5897606753964975,0.0008305032605171,0.0027500044985292,-6.776216405618232e-07,-6.499592465299508e-05,-0.0005057766549818,-0.0001008238205826,-0.0006179930068941,-0.0054527484684563,-1.2699306160249676e-05,-1.4091004189160086e-05,0.0089508089667799,0.5202156511413079,0.0716655344569824,-1.243818591540797,0.000205696429232,0.0014225182478421,-0.0002167222327766,0.0001328163827438,-1.907112984684244e-05,0.001176266497668,1.068867418545282,1.028492790385756,0.995640593852647,0.9002506549952884,1.068186057100608,0.89763618580122,1.3153302307426822,0.0287661650667996,1.8831441829723523,0.7736746835738226,1.0280873671192514,278.5045382485601,97873464,1.9353696503495939,2.308332289740656,1.2650620170422098,0.5975031953922563,0.14403439468822515,284.2997690463634
243453,6.861970740189031,5.026764926485017,36.22291112298541,74.65823955119903,1.220517977447216,1.6084804972612374,1.661200072925385,1.1138248697411903,1.4139977506209562,0.5792560157115214,7.726853168276256,36.61315701190923,-0.0001087926768131,0.0884917112083502,0.0043871815310698,0.0320042376742484,-1.0093490110879085e-06,-6.907451105581215e-05,-0.0001989907615658,-6.549863006704213e-05,-0.0017812416205425,-0.003133432880388,-2.6762650177934927e-05,-4.947515735320736e-06,0.0151975449081809,0.1501628533577798,0.1291030967077092,-1.480012271433332,0.0001737961212349,0.0013440273728596,1.7487135805796517e-05,0.0001049292534436,0.0003271100588334,0.0021243744153037,1.0124703771382222,0.9692606301625056,0.991017548248824,1.1383948622722844,0.8805276753940443,1.015571131464611,0.7027983521671757,0.0229031587993047,0.1051215149987996,1.4397305743920503,0.9851279512769916,278.231872879448,98493510,1.8890668895727325,2.296869829373369,1.8381283166810847,1.129760128883107,0.44058566166972113,282.32538601295226
252049,1.023449372882046,2.5609626086845783,22.542178377196286,58.20251343368367,0.8595403886902934,3.9044443370441178,0.7433313377915822,1.2072931934551618,0.222899404168623,0.1536446726418631,7.345131841941935,31.88533479767401,0.0055971378375064,-1.2558975043268448,0.0046187057706999,0.04074798109999,-1.3265625610544686e-06,-9.46808645076919e-06,-0.0003075216649417,-3.023403044100323e-05,-0.0033363781193681,-0.0053783545905302,-3.0217620872262005e-05,-8.659039302449873e-06,0.0029184859577473,0.3211898747978804,0.0368781501408276,-1.4251129833044225,0.0002978576205322,0.001168386684438,-7.676157819130151e-05,0.0001154787661417,-0.0001219474250328,0.0011220088011745,0.9175002863055098,0.9650829465870944,0.9159696153657788,1.8261345359008607,1.1824770615756388,0.797537813167136,1.1152223154706185,-0.0451402893666617,1.492293668325361,0.4704707250610017,0.9594286627727436,277.864442652911,101923314,1.6007341058137827,2.3560935274461925,0.7372360744651424,1.1215519878875284,0.13298664073912328,282.61332770647965
253588,2.1465652415232417,3.330312076739312,7.82907723283044,145.96305916458917,0.8190827876585602,4.113121390550281,1.1631443386712248,1.4551630703517164,0.5475272321548971,0.4229510296219028,8.409133267301701,34.25963098835188,0.0029277496341571,1.604501683706699,0.0023466468596795,0.002878478006371,-2.3162874405691235e-06,-1.342601914281448e-05,-0.0010800530456843,-6.784652854905174e-05,-0.005437162274631,-0.0018730150981188,-1.2869456458467058e-05,-1.048527288843711e-05,0.0047662285567323,0.0166187000291358,0.0392776103602796,-2.692591325312788,0.0001465991786284,0.0019309325842504,-6.023359158662787e-05,0.0001242216366636,-5.1637581557926416e-05,0.0020777942991998,0.9840987815887786,0.9554528005378248,0.91383581172445,0.6255141244358451,1.0557393910068331,0.9234502856296224,0.6730403475571509,-0.0498377996136897,2.4601290997829723,1.5057377553878726,1.0313196041943855,277.88072453985086,102537375,1.5527252198383679,1.9710311073149782,1.232793802074967,0.5948233897507545,0.305891466267247,285.9670709824656
253983,4.347483389057855,4.50688956500524,26.094130215167205,38.64571737310517,1.6092965454658523,2.696697157130369,1.5405989756947696,1.6785767990091158,0.8123712149222939,0.4490263739367925,7.211861989823485,30.47634301289753,0.0085253575522334,3.217074044809279,-0.001642468549882,0.0348318196915416,-2.555926542584219e-06,-3.242979270369077e-05,-0.0010196354466149,-0.0001318024406159,-0.0078375536728903,-0.0033071922932981,-2.544808140381106e-05,-5.857891301790022e-06,0.0755146331788987,0.4638140991406352,0.3585051996630688,-0.1705469082905908,0.0002169265240498,0.0016013642739261,-0.0001592601484032,0.0001972763961825,-0.0001207684840337,0.0007518386844012,1.012708385094653,1.0276172416529945,0.9938169273996996,1.5577469797554215,1.1755065123880069,0.9804503254158716,0.974809871722317,-0.0699249879115285,2.3275211209067703,0.6881480326159548,0.9497680725925444,277.0838640857252,102694980,1.237107829006512,1.7964661690265284,1.7432280928328914,0.659856875429519,0.4783514620111733,287.78469754916523
255460,7.053695200371541,3.5340545077615992,14.211498661920904,39.86741960235743,1.1011085764606998,3.5716650462759008,1.2393693933383425,1.6966499831795374,0.8816712034331005,0.541146406908644,7.4913915421017245,36.406815697494174,0.0001800267020618,-0.5551643490735536,0.0046598412501643,0.0343735616991818,-8.68082896433847e-08,-3.9976065807072334e-05,-0.0001451288207154,-7.309403823429494e-05,-0.0049683606736192,-0.0033628400994744,-1.992514939596739e-05,-5.544614258979749e-06,0.0370345276114681,0.0461836564587868,0.070167704417112,-0.7738431027615504,0.0001728023390428,0.00065115134203,-6.025220217150037e-05,0.0001814487015842,0.000252645571537,0.0010015538840034,1.093966713576967,1.0252371798562996,0.9690894508752186,0.2447871892515203,1.2360416750550502,0.991136927676353,1.409761247118303,0.0086870313659979,1.110312138549254,1.0898395945483417,0.9691568126772108,278.4227313282044,103284303,1.9073492808098877,1.8447830600079038,0.6823405989212652,0.576588026859556,0.41943184403425693,285.6714645906906
256757,26.79575486247036,3.272507134246179,17.704356343604204,73.92273179299244,1.1386760420386437,3.966598298818298,0.8836940417239835,1.3791732644593224,1.6663904773275806,0.6035969305322034,8.377532606083362,29.4994941824257,0.0055726974184035,0.7055118150965987,0.0045441335201431,0.024789384326588,-4.404235467519158e-06,-4.954175452230684e-05,-0.0004590947382237,-8.201981942934194e-05,-0.0034803240206604,-0.0024271269777233,-5.944950906023071e-06,-3.832630880123533e-07,0.0268584018158606,1.2525896343601606,0.0515710608553008,-0.6654026395954996,0.0002864009074667,0.001076707013806,-8.02831911390364e-05,0.0002426629201375,-9.622141465956616e-05,0.0003674851786413,0.9529932251297824,0.8846928462561613,0.9813169356379704,1.1260523380897642,1.5755320090832394,0.7352408393223688,0.9972804882594372,-0.0053235057780055,1.7669440388646238,1.07239741059772,1.0290403478395809,279.72091913723625,103801806,1.4781082852619405,1.8089569733273385,1.9020966577587284,0.5508872355399288,0.31690887040331994,286.82582688352454
